CURclassMarker,numTestsEstimated,doneTests,numCrashes,numCandidates,numRaces,time,memory,testMode,not_tested, false_positive, benign, order-dependent, violating, harmful
Running Actul test environment
CURclassMarker,1607,305,70,330,320,2.934,36,i,10,0,302,18,0,0
CURclassMarker,1607,306,70,330,320,2.943,36,i,10,0,302,18,0,0
CURclassMarker,1607,307,70,330,320,2.952,36,i,10,0,302,18,0,0
CURclassMarker,1607,308,70,330,320,2.962,36,i,10,0,302,18,0,0
CURclassMarker,1607,309,70,330,320,2.971,36,i,10,0,302,18,0,0
CURclassMarker,1607,310,70,330,320,2.981,36,i,10,0,302,18,0,0
CURclassMarker,1607,311,70,330,320,2.99,36,i,10,0,302,18,0,0
CURclassMarker,1607,312,70,330,320,2.999,36,i,10,0,302,18,0,0
CURclassMarker,1607,313,70,330,320,3.008,36,i,10,0,302,18,0,0
CURclassMarker,1607,314,70,330,320,3.017,36,i,10,0,302,18,0,0
CURclassMarker,1607,315,70,330,320,3.026,36,i,10,0,302,18,0,0
CURclassMarker,1607,316,70,330,320,3.034,36,i,10,0,302,18,0,0
CURclassMarker,1607,317,70,330,320,3.044,36,i,10,0,302,18,0,0
CURclassMarker,1607,318,70,330,320,3.055,36,i,10,0,302,18,0,0
CURclassMarker,1607,319,70,330,320,3.064,36,i,10,0,302,18,0,0
CURclassMarker,1607,320,70,330,320,3.073,36,i,10,0,302,18,0,0
CURclassMarker,1607,321,70,330,320,3.082,36,i,10,0,302,18,0,0
CURclassMarker,1607,322,70,330,320,3.091,36,i,10,0,302,18,0,0
CURclassMarker,1607,323,70,330,320,3.1,36,i,10,0,302,18,0,0
CURclassMarker,1607,324,70,330,320,3.109,36,i,10,0,302,18,0,0
CURclassMarker,1607,325,70,330,320,3.118,36,i,10,0,302,18,0,0
CURclassMarker,1607,326,70,330,320,3.127,36,i,10,0,302,18,0,0
CURclassMarker,1607,327,70,330,320,3.136,36,i,10,0,302,18,0,0
CURclassMarker,1607,328,70,330,320,3.145,36,i,10,0,302,18,0,0
CURclassMarker,1607,329,70,330,320,3.154,36,i,10,0,302,18,0,0
